Column,Description,DataType,Example
Country,"Country of the respondent",String,"India"
Age,"Age of the respondent",Integer,"25"
GenderSelect,"Gender selected by respondent",String,"Male"
EmploymentStatus,"Current employment status",String,"Employed full-time"
CurrentJobTitleSelect,"Current job title",String,"Data Scientist"
Salary,"Annual salary of respondent",Float,"750000"
LanguageRecommendationSelect,"Recommended programming language",String,"Python"
LearningPlatformSelect,"Preferred learning platform",String,"Coursera"
HardwarePersonalProjectsSelect,"Hardware used for projects",String,"Laptop"
PublicDatasetsSelect,"Source of public datasets",String,"Kaggle"
WorkToolsSelect,"Tools used at work",String,"Jupyter Notebook"
CoursePlatformSelect,"Preferred online course platform",String,"Udemy"
BlogsPodcastsNewslettersSelect,"Favorite blogs/podcasts/newsletters",String,"Towards Data Science"
JobSatisfaction,"Job satisfaction rating",Integer,"8"
DataScienceIdentitySelect,"Does respondent identify as Data Scientist",String,"Yes"
PastJobTitlesSelect,"Past job titles",String,"Software Engineer"
MLSkillsSelect,"Machine learning skills",String,"Deep Learning"
MLMethodNextYearSelect,"ML methods to learn next year",String,"NLP"
TimeSpentStudying,"Hours spent studying weekly",Integer,"10"
WorkChallengesSelect,"Main work challenges",String,"Data Cleaning"
JobSkillImportancePython,"Importance of Python skill",Integer,"9"
JobSkillImportanceStats,"Importance of Statistics skill",Integer,"8"
JobSkillImportanceSQL,"Importance of SQL skill",Integer,"9"
JobSkillImportanceKaggleRanking,"Importance of Kaggle ranking",Integer,"5"
EmployerIndustry,"Industry of employer",String,"IT Services"
EmployerSize,"Company size",String,"1000-5000"
Tenure,"Years in current role",Integer,"3"
WorkCodeSharing,"Code sharing preference",String,"GitHub"
JobSkillImportanceVisualization,"Importance of visualization skills",Integer,"8"
JobSkillImportanceCommunication,"Importance of communication skills",Integer,"9"
LearningCategorySelftTaught,"Self-taught learning category",String,"Books"
LearningCategoryOnlineCourses,"Learning through online courses",String,"Coursera"
LearningCategoryUniversity,"University learning category",String,"Engineering"
LearningCategoryWork,"Learning at workplace",String,"Projects"
LearningCategoryKaggle,"Learning using Kaggle",String,"Competitions"
ChallengeBigData,"Big data challenge level",Integer,"7"
ChallengeMachineLearning,"Machine learning challenge level",Integer,"8"
ChallengeDeployment,"Deployment challenge level",Integer,"6"
FavoriteDataVisualizationTool,"Favorite visualization tool",String,"Plotly"
FavoriteIDE,"Favorite IDE",String,"VS Code"
DatabaseExperience,"Database experience",String,"MySQL"
CloudPlatformExperience,"Cloud platform experience",String,"AWS"
PreferredOperatingSystem,"Preferred operating system",String,"Windows"
RemoteWorkPreference,"Preference for remote work",String,"Hybrid"
ProgrammingExperienceYears,"Years of programming experience",Integer,"5"
CareerSwitchInterest,"Interest in career switch",String,"No"
OpenSourceContribution,"Open-source contribution status",String,"Yes"
DataCleaningTimePercent,"Percentage of time spent cleaning data",Float,"35.5"
ProjectManagementTool,"Preferred project management tool",String,"Jira"
